LakeCode	meanTP	minmaxTP	maxTP	meanTN	minmaxTN	maxTN	meanTurb	minmaxTurb	maxTurb	meanWC	minmaxWC	maxWC	meanCond	minmaxCond	maxCond	meanWT	minmaxWT	maxWT	surface_mean_WT	bottom_mean_WT	deltaT	abs_deltaT	thermal_class	n_surface	n_bottom	bottom_DO_mean	bottom_DO_min	surface_DO_mean	surface_DO_min	bottom_pH_min	bottom_pH_mean	bottom_pH_max	surface_pH_min	surface_pH_mean	surface_pH_max	expert	area_m2	SECCIDEPTH	NEWDEPTH	CoordYKJ_East	tyyppi_Lv	tyyppi_Kh	tyyppi_Mh	tyyppi_MRh	tyyppi_MVh	tyyppi_Ph	tyyppi_Vh	tyyppi_PoLa	tyyppi_Rh	tyyppi_Rk	tyyppi_Rr	tyyppi_Sh	tyyppi_SVh	minmaxTCond	ecologystatus
100011008	39.0	39.0	45.0	650.0	656.6666666666666	710.0	5.45	5.666666666666667	6.4	85.0	86.66666666666667	90.0	4.666666666666667	4.666666666666667	4.9	21.23333333333333	21.866666666666664	22.8	21.15	18.0	3.1499999999999986	3.1499999999999986	2.0	4.0	4.0	2.35	0.2	8.025	7.1	6.2	6.400000000000001	6.6	6.5	6.5	6.5	0.0	2388565.304	0.911	6.0	3543194.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.666666666666667	2
100031008	33.0	33.0	33.0	595.0	595.0	670.0	6.0	6.0	6.8	205.0	205.0	230.0	5.15	5.15	6.5	20.45	20.45	21.4	20.45	19.5	0.9499999999999992	0.9499999999999992	1.0	2.0	1.0	8.3	8.3	7.699999999999999	7.2	6.5	6.5	6.5	6.6	6.6	6.6	0.0	1019982.131	0.7	3.7	3532180.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.15	3
10111001	23.0	23.0	23.0	710.0	840.0	840.0	6.25	8.4	8.4	37.5	40.0	40.0	8.05	8.1	8.1	19.7	23.0	23.0	19.7	14.4	5.299999999999999	5.299999999999999	3.0	2.0	2.0	1.3	0.8	8.8	8.3	6.8	6.925	7.05	7.35	7.785	8.22	0.0	1080741.691	1.975	7.125	3689060.75	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1	1
10131001	17.5	18.0	18.0	455.0	470.0	470.0	1.15	1.3	1.3	170.0	200.0	200.0	2.25	2.3	2.3	14.65	18.6	18.6	14.65	6.85	7.800000000000001	7.800000000000001	3.0	2.0	2.0	3.55	1.4	8.55	7.8	5.9	5.95	6.0	6.2	6.300000000000001	6.4	0.0	971643.6422	1.4	17.0	3679064.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.3	3
10141002	38.0	38.0	38.0	810.0	810.0	810.0	4.3	4.3	4.3	250.0	250.0	250.0	10.0	10.0	10.0	13.2	13.2	13.2	13.2	4.5	8.7	8.7	3.0	1.0	1.0	0.2	0.2	6.3	6.3	6.64	6.64	6.64	6.99	6.99	6.99	0.0	242620.789	1.012	18.4	3680395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	2
10211014	19.0	19.0	19.0	510.0	510.0	510.0	1.4	1.4	1.4	200.0	200.0	200.0	2.0	2.0	2.0	20.6	20.6	20.6	20.6	11.3	9.3	9.3	3.0	1.0	1.0	6.6	6.6	7.4	7.4	5.81	5.81	5.81	6.07	6.07	6.07	0.0	855767.8283	1.133	9.8	3685943.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3
10231001	25.120553240740755	27.609685185185185	28.108333333333327	420.0	420.0	420.0	0.94	0.94	0.94	180.0	180.0	180.0	1.8	1.8	1.8	14.1	14.1	14.1	14.1	5.0	9.1	9.1	3.0	1.0	1.0	3.6	3.6	7.6	7.6	5.5	5.5	5.5	5.8	5.8	5.8	0.0	2532112.586	1.4	12.257	3697108.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	3
10271001	19.0	19.0	19.0	550.0	550.0	550.0	1.5	1.5	1.5	120.0	120.0	120.0	2.4	2.4	2.4	21.3	21.3	21.3	21.3	15.213996672820631	5.961633672309517	5.7625027724665205	2.893882829642681	1.0	1.128888888888889	4.882173698068453	2.729672222222222	8.7	8.7	6.4125388888888954	6.486608796296301	6.552883333333322	6.79	6.79	6.79	0.0	191025.1592	1.667	1.867	3690064.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	3
10271002	20.0	25.0	25.0	490.0	500.0	500.0	1.4500000000000002	1.6	1.6	120.0	130.0	130.0	2.4	2.5	2.5	20.05	21.8	21.8	20.05	11.8	8.25	8.25	3.0	1.0	1.0	4.9	4.3	8.4	8.3	6.13	6.15	6.17	6.43	6.63	6.83	0.0	1403315.004	1.58	5.817	3690158.3333333335	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	3
10271005	18.0	18.0	18.0	260.0	260.0	290.0	0.515	0.515	0.59	15.0	15.0	15.0	2.05	2.05	2.2	19.200000000000003	19.200000000000003	23.6	19.200000000000003	7.866666666666667	11.333333333333336	11.333333333333336	3.0	2.0	3.0	3.766666666666667	1.2	9.05	8.9	6.2	6.2	6.2	6.8	6.8	6.8	0.0	738764.9175	4.42	11.3	3696113.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	3
