Site_Id,LakeCode,ekoltasoid,palavpdvhs3_ha
11,141411001,3.0,"7813,3"
11,141411001,2.0,"139,17"
12,141411001,3.0,"7813,3"
12,141411001,2.0,"139,17"
13,141441004,,
14,141451002,,
15,141631001,2.0,"372,4"
16,141611001,2.0,"218,45"
17,141631001,2.0,"372,4"
18,141631001,2.0,"372,4"
19,141631001,2.0,"372,4"
20,141631012,,
21,141631001,2.0,"372,4"
22,141641001,2.0,646
25,141611001,2.0,"218,45"
26,141631001,2.0,"372,4"
27,141631013,2.0,"201,17"
28,141641001,2.0,646
29,141631010,,
30,141631013,2.0,"201,17"
31,141621001,3.0,"572,98"
32,141621001,3.0,"572,98"
33,141641002,2.0,"274,77"
34,141621001,3.0,"572,98"
35,141621002,2.0,"809,38"
36,141621002,2.0,"809,38"
37,141621001,3.0,"572,98"
39,141651016,2.0,"207,29"
40,141651002,2.0,"248,04"
41,141651009,2.0,"219,58"
43,141651013,,
44,142431002,,
45,142121009,2.0,"445,62"
47,142121009,2.0,"445,62"
48,142111001,3.0,"45200,73"
49,142111001,3.0,"45200,73"
50,142111001,3.0,"45200,73"
51,142111001,3.0,"45200,73"
52,142111001,3.0,"45200,73"
53,142111001,3.0,"45200,73"
54,142111001,3.0,"45200,73"
55,142111001,3.0,"45200,73"
56,142111001,3.0,"45200,73"
57,142111001,3.0,"45200,73"
58,142111001,3.0,"45200,73"
59,142111001,3.0,"45200,73"
60,142111001,3.0,"45200,73"
61,142111001,3.0,"45200,73"
62,142111001,3.0,"45200,73"
63,142111001,3.0,"45200,73"
64,142111001,3.0,"45200,73"
65,142111001,3.0,"45200,73"
66,142111001,3.0,"45200,73"
67,142111003,,
68,142111001,3.0,"45200,73"
69,142111001,3.0,"45200,73"
71,142111001,3.0,"45200,73"
73,142111001,3.0,"45200,73"
82,142231013,,
89,142211001,3.0,"45886,18"
89,142211001,3.0,"1703,6"
89,142211001,2.0,"1016,5"
89,142211001,1.0,"296,66"
91,142211001,3.0,"45886,18"
91,142211001,3.0,"1703,6"
91,142211001,2.0,"1016,5"
91,142211001,1.0,"296,66"
92,142211001,3.0,"45886,18"
92,142211001,3.0,"1703,6"
92,142211001,2.0,"1016,5"
92,142211001,1.0,"296,66"
94,142211001,3.0,"45886,18"
94,142211001,3.0,"1703,6"
94,142211001,2.0,"1016,5"
94,142211001,1.0,"296,66"
95,142211001,3.0,"45886,18"
95,142211001,3.0,"1703,6"
95,142211001,2.0,"1016,5"
95,142211001,1.0,"296,66"
96,142211001,3.0,"45886,18"
96,142211001,3.0,"1703,6"
96,142211001,2.0,"1016,5"
96,142211001,1.0,"296,66"
100,142211001,3.0,"45886,18"
100,142211001,3.0,"1703,6"
100,142211001,2.0,"1016,5"
100,142211001,1.0,"296,66"
101,142211001,3.0,"45886,18"
101,142211001,3.0,"1703,6"
101,142211001,2.0,"1016,5"
101,142211001,1.0,"296,66"
102,142211001,3.0,"45886,18"
102,142211001,3.0,"1703,6"
102,142211001,2.0,"1016,5"
102,142211001,1.0,"296,66"
103,142211001,3.0,"45886,18"
103,142211001,3.0,"1703,6"
103,142211001,2.0,"1016,5"
103,142211001,1.0,"296,66"
104,142211001,3.0,"45886,18"
104,142211001,3.0,"1703,6"
104,142211001,2.0,"1016,5"
104,142211001,1.0,"296,66"
105,142211001,3.0,"45886,18"
105,142211001,3.0,"1703,6"
105,142211001,2.0,"1016,5"
105,142211001,1.0,"296,66"
106,142211001,3.0,"45886,18"
106,142211001,3.0,"1703,6"
106,142211001,2.0,"1016,5"
106,142211001,1.0,"296,66"
107,142211001,3.0,"45886,18"
107,142211001,3.0,"1703,6"
107,142211001,2.0,"1016,5"
107,142211001,1.0,"296,66"
108,142211001,3.0,"45886,18"
108,142211001,3.0,"1703,6"
108,142211001,2.0,"1016,5"
108,142211001,1.0,"296,66"
109,142211001,3.0,"45886,18"
109,142211001,3.0,"1703,6"
109,142211001,2.0,"1016,5"
109,142211001,1.0,"296,66"
110,142211001,3.0,"45886,18"
110,142211001,3.0,"1703,6"
110,142211001,2.0,"1016,5"
110,142211001,1.0,"296,66"
111,142211001,3.0,"45886,18"
111,142211001,3.0,"1703,6"
111,142211001,2.0,"1016,5"
111,142211001,1.0,"296,66"
112,142211001,3.0,"45886,18"
112,142211001,3.0,"1703,6"
112,142211001,2.0,"1016,5"
112,142211001,1.0,"296,66"
113,142211001,3.0,"45886,18"
113,142211001,3.0,"1703,6"
113,142211001,2.0,"1016,5"
113,142211001,1.0,"296,66"
114,142211001,3.0,"45886,18"
114,142211001,3.0,"1703,6"
114,142211001,2.0,"1016,5"
114,142211001,1.0,"296,66"
115,142211001,3.0,"45886,18"
115,142211001,3.0,"1703,6"
115,142211001,2.0,"1016,5"
115,142211001,1.0,"296,66"
116,142211001,3.0,"45886,18"
116,142211001,3.0,"1703,6"
116,142211001,2.0,"1016,5"
116,142211001,1.0,"296,66"
122,142441001,2.0,"160,45"
123,142441001,2.0,"160,45"
125,142441001,2.0,"160,45"
126,142441001,2.0,"160,45"
129,nan,,
135,142411001,3.0,"6470,93"
135,142411001,3.0,"4271,77"
137,142411001,3.0,"6470,93"
137,142411001,3.0,"4271,77"
138,142411001,3.0,"6470,93"
138,142411001,3.0,"4271,77"
139,142411001,3.0,"6470,93"
139,142411001,3.0,"4271,77"
140,142411001,3.0,"6470,93"
140,142411001,3.0,"4271,77"
141,142411001,3.0,"6470,93"
141,142411001,3.0,"4271,77"
142,142411001,3.0,"6470,93"
142,142411001,3.0,"4271,77"
143,142411001,3.0,"6470,93"
143,142411001,3.0,"4271,77"
144,142411001,3.0,"6470,93"
144,142411001,3.0,"4271,77"
145,142411001,3.0,"6470,93"
145,142411001,3.0,"4271,77"
146,142411001,3.0,"6470,93"
146,142411001,3.0,"4271,77"
147,142441002,,
148,142411001,3.0,"6470,93"
148,142411001,3.0,"4271,77"
149,142411001,3.0,"6470,93"
149,142411001,3.0,"4271,77"
150,142411001,3.0,"6470,93"
150,142411001,3.0,"4271,77"
151,142411001,3.0,"6470,93"
151,142411001,3.0,"4271,77"
152,142411001,3.0,"6470,93"
152,142411001,3.0,"4271,77"
153,142441001,2.0,"160,45"
154,142411001,3.0,"6470,93"
154,142411001,3.0,"4271,77"
155,142411001,3.0,"6470,93"
155,142411001,3.0,"4271,77"
156,142411001,3.0,"6470,93"
156,142411001,3.0,"4271,77"
157,142411001,3.0,"6470,93"
157,142411001,3.0,"4271,77"
