fold	prob_1	prob_2	prob_3	prob_4	std_1	std_2	std_3	std_4	LakeCode	true_label	true_idx	pred_idx	pred_label	entropy	entropy_norm	aleatoric_entropy	aleatoric_entropy_norm	epistemic_mi	margin_p1_p2	totvar_1	epivar_1	alevar_1	totvar_2	epivar_2	alevar_2	totvar_3	epivar_3	alevar_3	totvar_4	epivar_4	alevar_4	feat_meanTP	feat_meanTN	feat_meanTurb	feat_meanWC	feat_meanCond	feat_thermal_class	feat_bottom_DO_min	feat_surface_DO_min	feat_bottom_pH_min	feat_surface_pH_max	feat_area_m2	feat_SECCIDEPTH	feat_NEWDEPTH	feat_tyyppi_Lv	feat_tyyppi_Kh	feat_tyyppi_Mh	feat_tyyppi_MRh	feat_tyyppi_MVh	feat_tyyppi_Ph	feat_tyyppi_Vh	feat_tyyppi_PoLa	feat_tyyppi_Rh	feat_tyyppi_Rk	feat_tyyppi_Rr	feat_tyyppi_Sh	feat_tyyppi_SVh
1	0,043018218	0,718019307	0,238549799	0,00041274	0,064843141	0,057600539	0,052419834	0,002584917	100011008	2	1	1	2	0,718291759	0,51813798	0,824369371	0,594656802	-0,106077611	0,479469508	0,146571755	0,004204633	0,142367125	0,215383038	0,003317822	0,21206522	0,115337841	0,002747839	0,11259	0,002503426	6,6818E-06	0,002496745	39	650	5,45	85	4,666666667	2	0,2	7,1	6,2	6,5	2388565,304	0,911	6	0	0	0	0	0	1	0	0	0	0	0	0	0
1	0,004077903	0,180034265	0,776039064	0,039848775	0,013608301	0,105837524	0,081844561	0,049439702	100031008	3	2	2	3	0,656311274	0,47342851	1,008043766	0,727149871	-0,351732492	0,596004784	0,031211691	0,000185186	0,031026505	0,226523742	0,011201581	0,215322167	0,249496758	0,006698532	0,242798224	0,088825822	0,002444284	0,08638154	33	595	6	205	5,15	1	8,3	7,2	6,5	6,6	1019982,131	0,7	3,7	0	0	0	1	0	0	0	0	0	0	0	0	0
1	2,77797E-05	0,000621863	0,320480496	0,678869843	0,000870074	0,006744043	0,092080623	0,096354157	10271005	3	2	3	4	0,632511973	0,456260944	0,577121258	0,416304988	0,055390716	0,358389348	0,000621697	7,57029E-07	0,00062094	0,005594271	4,54821E-05	0,005548789	0,18916446	0,008478842	0,180685624	0,192207515	0,009284124	0,182923391	18	260	0,515	15	2,05	3	1,2	8,9	6,2	6,8	738764,9175	4,42	11,3	0	0	0	0	0	0	1	0	0	0	0	0	0
1	0,000192264	0,00784794	0,59212476	0,39983511	0,001631789	0,023700994	0,090293914	0,106111214	10361001	3	2	2	3	0,716513991	0,516855591	0,794955134	0,573438915	-0,078441143	0,19228965	0,002387412	2,66273E-06	0,00238475	0,031679183	0,000561737	0,031117447	0,244806468	0,008152991	0,236653477	0,248636827	0,01125959	0,237377241	12,5	427,5	1,1975	115	2,725	2	0,4	7,9	5,95	6,11	860670,4939	2,062	11,05	0	0	0	0	0	1	0	0	0	0	0	0	0
1	0,000146303	0,005967428	0,55895555	0,434930652	0,001287455	0,016862852	0,078609549	0,089910604	10441014	4	3	2	3	0,719099522	0,518720657	0,77141434	0,556457821	-0,052314818	0,124024898	0,001872472	1,65754E-06	0,001870814	0,024468286	0,000284356	0,024183931	0,241220668	0,006179461	0,235041201	0,245548114	0,008083916	0,237464204	20	540	1,35	80	2,425	2,981841836	2,523972222	8,2	6,400472222	6,7	584928,2559	1,62	5,167	0	0	1	0	0	0	0	0	0	0	0	0	0
1	0,000314674	0,014265539	0,628572226	0,356847554	0,00220519	0,031820513	0,075676911	0,096021287	10751027	3	2	2	3	0,722725868	0,521336513	0,853340983	0,615555402	-0,130615115	0,271724671	0,00363282	4,86286E-06	0,003627957	0,048353259	0,001012545	0,047340713	0,247208968	0,005726995	0,241481975	0,249996737	0,009220087	0,240776643	17	430	1,2	140	2,1	2	1,9	8,2	5,79	6,17	1430927,865	1,4	4,775	0	0	0	1	0	0	0	0	0	0	0	0	0
1	0,00020336	0,007126674	0,541369498	0,451300472	0,003025739	0,031999391	0,088290229	0,109817624	10761012	3	2	2	3	0,728240013	0,525314128	0,783381581	0,565090361	-0,055141568	0,090069026	0,002945003	9,15509E-06	0,002935848	0,033281159	0,001023961	0,032257199	0,236925051	0,007795164	0,229129881	0,244082883	0,012059911	0,232022971	10	480	0,79	150	2,6	2	7,2	8,5	5,78	5,93	842752,8846	1,65	7,15	0	0	0	0	0	0	0	0	1	0	0	0	0
1	9,3375E-06	0,000163244	0,230623916	0,769203484	0,000696342	0,00459672	0,095527738	0,098406687	10821013	4	3	3	4	0,541688085	0,390745357	0,493171751	0,35574822	0,048516333	0,538579583	0,000364223	4,84892E-07	0,000363738	0,002824536	2,11298E-05	0,002803406	0,161167964	0,009125548	0,152042419	0,163063288	0,009683876	0,153379411	6,8	295	1,055	40	1,5	2	0,4	7,6	6,1	6,6	936547,4324	3,7	6,933	0	0	0	0	1	0	0	0	0	0	0	0	0
1	0,021188615	0,515046656	0,453080475	0,010684308	0,085514307	0,087296054	0,099274471	0,026825469	110031001	2	1	1	2	0,830592513	0,59914585	0,96456331	0,695785352	-0,133970797	0,061966181	0,103998855	0,007312696	0,096686155	0,241762221	0,007620601	0,234141618	0,191738322	0,00985542	0,181882903	0,031643063	0,000719606	0,030923458	25,67250309	740	6,1	200	4,6	1	8,3	8	6,7	6,7	904292,1002	0,75	3,75	0	0	1	0	0	0	0	0	0	0	0	0	0
1	0,002015742	0,111834556	0,764839649	0,121310115	0,010517516	0,108178012	0,062393598	0,095297381	110041005	3	2	2	3	0,7184484	0,518250972	1,04812634	0,756063336	-0,329677939	0,643529534	0,017795093	0,000110618	0,017684475	0,184935257	0,011702483	0,173232779	0,24993597	0,003892961	0,246043012	0,176532343	0,009081591	0,167450756	16	610	1,9	140	4,8	3	0,5	9,4	5,7	6,5	791195,7267	0,75	8	0	0	0	0	0	0	0	0	1	0	0	0	0
