LakeCode	actual	XG	XG1	XG2	XG3	XG4	RF	RF1	RF2	RF3	RF4	SVM	SVM1	SVM2	SVM3	SVM4	ANN	ANN1	ANN2	ANN3	ANN4	TAB	TAB1	TAB2	TAB3	TAB4	BNN	BNN1	BNN2	BNN3	BNN4	fold
100011008	2	2	0,008903409	0,708793447	0,274296273	0,008006872	2	0,11668062	0,499041764	0,317944005	0,066333612	2	0,064162603	0,623308932	0,302216143	0,010312322	2	0,193201005	0,726987481	0,078883119	0,000928454	2	0,188761451	0,724443189	0,085686992	0,001108368	2	0,043018218	0,718019307	0,238549799	0,00041274	1
100031008	3	2	0,008447183	0,560759444	0,419928399	0,010864974	3	0,140178307	0,372904803	0,417606568	0,069310323	3	0,003846858	0,224030534	0,730192382	0,041930225	3	0,002159115	0,296199203	0,666798413	0,034843344	3	0,015161553	0,38090336	0,546004662	0,057930425	3	0,004077903	0,180034265	0,776039064	0,039848775	1
10271005	3	4	3,84135E-05	0,025249985	0,384662056	0,590049545	4	0,04377493	0,062902437	0,100067175	0,793255458	4	0,003386569	0,03372907	0,39178595	0,57109841	4	2,14248E-05	0,004055487	0,163918599	0,832004488	4	3,67493E-06	0,005584017	0,217286615	0,777125693	4	2,77797E-05	0,000621863	0,320480496	0,678869843	1
10361001	3	3	4,42873E-05	0,008685939	0,808405439	0,182864334	3	0,052486855	0,080148467	0,549402284	0,317962394	3	0,003548211	0,04000852	0,490140118	0,466303151	4	0,000155466	0,026215384	0,442221105	0,531408012	3	0,000137496	0,042054085	0,56485345	0,392954969	3	0,000192264	0,00784794	0,59212476	0,39983511	1
10441014	4	3	2,97323E-05	0,01289894	0,603458092	0,383613236	3	0,052119049	0,08377606	0,541587051	0,32251784	3	0,003476863	0,037888197	0,606711218	0,351923721	4	0,000486394	0,033098441	0,424758017	0,54165709	3	0,00064739	0,076650589	0,493853012	0,428849009	3	0,000146303	0,005967428	0,55895555	0,434930652	1
10751027	3	3	3,29582E-05	0,00719001	0,719398349	0,273378682	3	0,052390419	0,079304434	0,6504652	0,217839947	3	0,003554213	0,03555839	0,597580281	0,363307116	4	2,47617E-05	0,006443269	0,440126747	0,553405225	3	0,000103431	0,021318112	0,515499554	0,463078903	3	0,000314674	0,014265539	0,628572226	0,356847554	1
10761012	3	4	1,57436E-05	0,002690455	0,452197581	0,54509622	4	0,047842463	0,067943458	0,297331316	0,586882764	4	0,00340705	0,027865416	0,397179065	0,571548469	4	8,83443E-05	0,011021767	0,409346163	0,57954371	3	0,000267889	0,071049962	0,523373973	0,405308175	3	0,00020336	0,007126674	0,541369498	0,451300472	1
10821013	4	4	9,41351E-05	0,007546765	0,372293545	0,620065554	4	0,044413891	0,062975433	0,141379	0,751231676	4	0,003435505	0,027896305	0,39709048	0,571577711	4	2,17371E-05	0,001602098	0,202546552	0,795829594	3	9,77711E-06	0,015616093	0,562221242	0,422152887	4	9,3375E-06	0,000163244	0,230623916	0,769203484	1
110031001	2	2	0,043417471	0,560674941	0,381627112	0,014280477	2	0,171142185	0,473651227	0,289186769	0,06601982	3	0,007706267	0,318488073	0,643461541	0,030344118	3	0,013768804	0,433692276	0,534514666	0,018024195	2	0,074269329	0,532510229	0,351175839	0,042044603	2	0,021188615	0,515046656	0,453080475	0,010684308	1
110041005	3	3	0,000323912	0,12599112	0,810195535	0,063489433	3	0,060460604	0,125857906	0,679216646	0,134464844	3	0,003787463	0,047750744	0,718965454	0,229496338	3	0,002492148	0,128808036	0,642165482	0,226534426	3	0,00727817	0,199421186	0,529480965	0,263819678	3	0,002015742	0,111834556	0,764839649	0,121310115	1
110041010	2	3	0,000227371	0,106280736	0,836474915	0,057016978	3	0,067696363	0,159795766	0,641944808	0,130563064	3	0,003972887	0,205464672	0,744551934	0,046010506	3	0,015383884	0,241313875	0,656169057	0,087133214	3	0,020608733	0,21910728	0,519437199	0,240846788	3	0,00549595	0,243883952	0,70217222	0,048447859	1
110051001	3	2	0,010104072	0,591123239	0,389662281	0,009110408	2	0,118607393	0,429090477	0,382100131	0,070201999	2	0,019529433	0,581154975	0,389334191	0,009981401	2	0,094328426	0,59138751	0,291496128	0,022787943	2	0,028569845	0,750931497	0,213355072	0,007143586	2	0,013137496	0,528894961	0,453622639	0,004344986	1
110061013	3	3	0,000131698	0,129868278	0,844619853	0,025380171	3	0,060818735	0,132881148	0,704792523	0,101507594	3	0,003657218	0,047934505	0,706206356	0,242201921	3	0,000887643	0,114142954	0,663324773	0,221644625	3	0,004636238	0,319644655	0,553429469	0,122289639	3	0,000735506	0,037086703	0,77490288	0,187274933	1
120031026	2	3	0,00048792	0,278118608	0,577882781	0,143510691	3	0,086066471	0,221218803	0,499606057	0,193108669	3	0,003787534	0,050194946	0,719067492	0,226950028	3	0,004213184	0,147840559	0,605741978	0,242204234	3	0,00369709	0,188956083	0,524199041	0,283147786	3	0,001120687	0,066495918	0,787836134	0,144547343	1
120041007	4	4	1,25647E-05	0,00388964	0,136010225	0,860087571	4	0,043502914	0,058255945	0,047530412	0,850710729	4	0,003410121	0,028628778	0,39363909	0,57432201	4	3,19198E-05	0,001829186	0,154883772	0,843255103	4	3,65198E-06	0,005077418	0,275266624	0,719652306	4	2,70871E-05	0,000471325	0,305739611	0,693761945	1
130021007	2	2	0,037287545	0,785924528	0,16811473	0,008673197	2	0,153133395	0,653507634	0,140136788	0,053222183	2	0,021125915	0,580203116	0,388829177	0,009841792	2	0,117810488	0,636220634	0,234337598	0,011631237	2	0,054215972	0,733494435	0,207968597	0,004320996	2	0,016450398	0,584186435	0,396559358	0,002803759	1
141211001	2	2	0,238892514	0,557641333	0,199396125	0,004070028	2	0,175925252	0,542610569	0,216828812	0,064635366	2	0,174345298	0,674658967	0,139739044	0,011256691	2	0,268250436	0,682442486	0,048988875	0,000318266	2	0,283044322	0,604089909	0,108142074	0,004723695	2	0,074467763	0,770136118	0,155297995	9,82789E-05	1
141261001	4	4	9,89263E-06	0,001885362	0,087609904	0,910494841	4	0,043500827	0,057874197	0,039211854	0,859413123	4	0,003405321	0,027951554	0,393403785	0,575239341	4	2,36511E-05	0,001024029	0,110547595	0,888404727	4	2,216E-06	0,003713888	0,190765088	0,805518808	4	7,97135E-06	0,000116699	0,208514959	0,791360319	1
141471018	4	4	1,11991E-05	0,001831238	0,215782014	0,78237555	4	0,0441358	0,060970062	0,152771691	0,742122447	4	0,00342819	0,032049447	0,392568572	0,571953791	4	3,93787E-05	0,004510247	0,15977928	0,835671127	4	5,2663E-06	0,006333159	0,250318669	0,743342906	4	2,80806E-05	0,000619183	0,327269018	0,672083735	1
141611001	2	2	0,147110739	0,530499018	0,30599671	0,016393533	2	0,315933055	0,423005508	0,201972849	0,059088587	2	0,073425088	0,594241467	0,321721606	0,010611838	2	0,203516304	0,49440375	0,286002964	0,016076952	2	0,169809893	0,461202309	0,307049521	0,061938277	2	0,027917612	0,558961093	0,406295806	0,006825485	1
141621002	2	2	0,000213576	0,659643782	0,334859748	0,005282895	2	0,091925896	0,492664216	0,340630526	0,074779362	2	0,003709436	0,575793539	0,380520828	0,039976196	2	0,015338682	0,803735077	0,175839052	0,005087152	2	0,015858454	0,823523909	0,152431207	0,00818643	2	0,022710498	0,652106822	0,323263586	0,001919098	1
