feature_or_groupSVM	importance_meanSVM	ci95_lowSVM	ci95_highSVM	feature_or_groupBNN	importance_meanBNN	ci95_lowBNN	ci95_highBNN	feature_or_groupANN	importance_meanANN	ci95_lowANN	ci95_highANN	feature_or_groupXG	importance_meanXG	ci95_lowXG	ci95_highXG	feature_or_groupTAB	importance_meanTAB	ci95_lowTAB	ci95_highTAB	feature_or_groupRF	importance_meanRF	ci95_lowRF	ci95_highRF
meanTP	0,089206153	0,049088556	0,12757362	meanTP	0,086468515	0,059098922	0,130113396	tyyppi (lake type)	0,081153041	0,04384789	0,130195693	meanTurb	0,095173437	0,043806453	0,147053647	meanTP	0,116304364	0,044242199	0,177679298	meanTurb	0,142242128	0,072669887	0,212022341
meanTN	0,08431859	0,048360046	0,124104823	meanTN	0,06367894	0,025143291	0,093188189	meanTurb	0,063722395	0,011443537	0,144187907	meanTP	0,077143801	0,039435296	0,119333699	meanTN	0,080145596	0,031042285	0,138352879	meanTP	0,045530776	0,01866854	0,07384479
tyyppi (lake type)	0,070866092	0,037298469	0,105208906	tyyppi (lake type)	0,033319241	-0,005589687	0,062593372	meanTP	0,060461885	0,024235888	0,095536905	meanTN	0,041365696	0,004971605	0,070350599	tyyppi (lake type)	0,075163993	0,02725029	0,123712398	meanTN	0,014969548	-0,023144824	0,048926509
meanTurb	0,063347662	0,028958133	0,092832337	meanTurb	0,031197468	0,008939245	0,053154124	meanTN	0,04729072	0,003371921	0,098102921	meanWC	0,013865713	-0,004499462	0,031649571	meanTurb	0,071970959	0,003772853	0,140549958	surface_pH_max	0,009177353	-0,016885149	0,037179734
meanWC	0,029558269	-0,011349071	0,070061014	surface_pH_max	0,012006629	-0,014496312	0,033805727	SECCIDEPTH	0,022376732	-0,000949495	0,053263341	bottom_DO_min	0,013622033	-0,015931726	0,043694642	SECCIDEPTH	0,043633611	0,013407995	0,07843503	SECCIDEPTH	0,003115163	-0,009831016	0,024018473
SECCIDEPTH	0,022948084	-0,00607846	0,053614337	SECCIDEPTH	0,00868392	-0,010764611	0,032342348	bottom_DO_min	0,017883874	-0,006583842	0,036700912	meanCond	0,011520097	-0,029079988	0,046646728	surface_pH_max	0,036642901	0,004215793	0,071460466	meanWC	0,002881114	-0,01486552	0,018434367
surface_pH_max	0,01409327	-0,007497686	0,035752015	bottom_DO_min	0,007423694	-0,015885911	0,031866676	meanWC	0,015995253	-0,011857868	0,038869839	surface_pH_max	0,010217548	-0,032948521	0,040159278	bottom_DO_min	0,024085029	-0,006911451	0,057408537	tyyppi (lake type)	0,002805355	-0,010637977	0,018396249
bottom_DO_min	0,01372939	-0,015077043	0,040019541	meanCond	0,007137499	-0,016601247	0,024728434	thermal_class	0,01133586	-0,004485307	0,025140568	NEWDEPTH	0,004397353	-0,02091797	0,029417219	meanWC	0,020908201	-0,006109976	0,065572906	bottom_DO_min	0,00185798	-0,015588356	0,018876633
thermal_class	0,012147059	-0,006890947	0,029085749	bottom_pH_min	0,006163486	-0,007465121	0,018845544	area_m2	0,004259809	-0,007275074	0,022295179	area_m2	0,004210573	-0,013397182	0,021634042	NEWDEPTH	0,020478955	-0,01082503	0,05973685	area_m2	-5,63765E-05	-0,010653537	0,008831208
area_m2	0,004030823	-0,01115592	0,020175775	area_m2	0,00157491	-0,00543757	0,013773587	surface_pH_max	0,001257767	-0,015997014	0,020529701	tyyppi (lake type)	0,003571804	-0,010280937	0,017412157	thermal_class	0,016954852	-0,00934156	0,050021318	NEWDEPTH	-0,000588792	-0,01855423	0,012337397
meanCond	0,003608625	-0,024339114	0,036253192	thermal_class	0,001483781	-0,009157306	0,014122584	NEWDEPTH	0,000128004	-0,017156783	0,015659522	thermal_class	0,002447327	-0,013763121	0,018191225	bottom_pH_min	0,01539175	-0,017084265	0,052741151	thermal_class	-0,000766165	-0,011621059	0,008738306
NEWDEPTH	0,002743017	-0,023533131	0,026997828	surface_DO_min	0,001126886	-0,010059807	0,011115395	bottom_pH_min	-0,000977574	-0,012370777	0,015807858	SECCIDEPTH	0,001171945	-0,014891058	0,020494036	meanCond	0,011122744	-0,014515813	0,036180554	surface_DO_min	-0,001660883	-0,010664488	0,00680944
surface_DO_min	0,001895854	-0,016879719	0,019672843	NEWDEPTH	0,001062138	-0,009789191	0,012832667	meanCond	-0,003956122	-0,037918596	0,025115915	surface_DO_min	0,000253738	-0,014553095	0,011751078	surface_DO_min	0,009484699	-0,020951664	0,034298515	bottom_pH_min	-0,00311951	-0,016417048	0,013251228
bottom_pH_min	-0,000376406	-0,024212436	0,019965473	meanWC	0,000974696	-0,011202444	0,008179356	surface_DO_min	-0,006268695	-0,034097489	0,011969362	bottom_pH_min	-0,001630568	-0,018495496	0,013543464	area_m2	0,006119139	-0,007650701	0,021924771	meanCond	-0,004815853	-0,02431515	0,015717313
