featureSVM	mean_abs_shapSVM	ci95_lowSVM	ci95_highSVM		featureBNN	mean_abs_shapBNN	ci95_lowBNN	ci95_highBNN		featureANN	mean_abs_shapANN	ci95_lowANN	ci95_highANN		featureXG	mean_abs_shapXG	ci95_lowXG	ci95_highXG	featureTAB	mean_abs_shapTAB	ci95_lowTAB	ci95_highTAB	featureRF	mean_abs_shapRF	ci95_lowRF	ci95_highRF
meanTP	0.11448172813327458	0.11017219096946625	0.11861228799351294		meanTP	0.09975351524145204	0.09644595042433829	0.10290553390686008		meanTP	0.10401388963864043	0.10059184672278576	0.10728411232328383		meanTurb	0.8011030634824771	0.7857316979437962	0.8162423452503285	meanTP	0.10072220126595635	0.0975436388545318	0.10390539263805662	meanTurb	0.16852352821933983	0.16558664648842195	0.1714901902872632
tyyppi (lake type)	0.06993728297145457	0.06807054935077378	0.07207778951134251		meanTN	0.08831571194783629	0.08551368502394105	0.09132897744031929		meanTN	0.09306093583760124	0.08998800915994848	0.09638424046139418		meanTP	0.6332623761100704	0.6144153138891147	0.6521044962154433	meanTN	0.07838631345225419	0.07558447367101453	0.08144951952459888	meanTN	0.10890222020767444	0.10701450982958678	0.1106060654400311
meanTN	0.06166291191015964	0.05926454500002439	0.06429007505874072		tyyppi (lake type)	0.07474616288157074	0.0726771945659215	0.07701044063289002		tyyppi (lake type)	0.07692925533311767	0.07446280999125401	0.07940842223734577		meanTN	0.6243645781585421	0.612727800058683	0.6356260137781764	tyyppi (lake type)	0.05074089650745632	0.049047771808412674	0.052618466745380385	meanTP	0.060828268602581594	0.0595038898946207	0.062249923297867445
SECCIDEPTH	0.0431509898665507	0.041549817423831445	0.04475027896086688		SECCIDEPTH	0.04875052527799296	0.047160678015781755	0.05049060158048408		meanTurb	0.049069048123768555	0.046604015897912104	0.0515317295889398		surface_pH_max	0.26956600945491443	0.26274192324408435	0.2759329327745067	meanTurb	0.0432972047754954	0.04140843567921855	0.045131040768752614	meanCond	0.035387519904065905	0.03449103403621135	0.036417426976264274
meanTurb	0.032394531838184984	0.030220814569166383	0.03460250127341106		meanTurb	0.04045123857275334	0.03821958969063948	0.042537310951092235		SECCIDEPTH	0.0438315805448156	0.042370932998682775	0.0454047875511436		bottom_DO_min	0.24527487819251736	0.2412975346136803	0.24901354809155796	bottom_DO_min	0.028137917084458758	0.02690636204340635	0.029384678305473658	surface_pH_max	0.034971634314430365	0.03388314528260572	0.03597335243101008
bottom_DO_min	0.026150885926278993	0.02498369054461019	0.027232229221408784		bottom_DO_min	0.02955763760699526	0.028231589609085162	0.0307740153568191		bottom_DO_min	0.028948877733896195	0.027700390616983404	0.030193803763942463		tyyppi (lake type)	0.23194238779691992	0.22741786607096667	0.23658724570842543	SECCIDEPTH	0.02504448293238926	0.023930254132776302	0.026274378604309045	bottom_DO_min	0.021713639997361606	0.021183592079738658	0.022235451609625673
thermal_class	0.014870187299592462	0.014110802088085277	0.015787583578544734		surface_pH_max	0.02248749658355781	0.02138759523351903	0.023601934954210386		surface_pH_max	0.025814193458231348	0.02444369568566367	0.027178831068468256		meanCond	0.17546817414848498	0.17061636555020024	0.18060627294617249	surface_pH_max	0.024960323603522978	0.023658690647034318	0.02616557307669546	bottom_pH_min	0.01197678589793186	0.011569908068830667	0.012382384635472119
meanCond	0.01154718202543797	0.010769415713718937	0.012352378593415453		thermal_class	0.013439544848638508	0.012665291361959527	0.0142366470002449		thermal_class	0.012434156547793595	0.011706980908304866	0.013205881764058057		SECCIDEPTH	0.1687924120711152	0.16349996732416275	0.17397360730274317	meanCond	0.017256427079305914	0.01641024877913086	0.01822019344095464	area_m2	0.01119205245928928	0.01059327548086451	0.01181921851071889
surface_pH_max	0.010679786982746053	0.009916973272639629	0.01151481779955171		meanCond	0.013299043632850813	0.012457000553672904	0.01424296926290506		meanWC	0.010803107157111459	0.010047058371099404	0.011563124693720733		area_m2	0.14462362549036997	0.13961669752551514	0.14975290419300344	bottom_pH_min	0.015396906968172834	0.014406718680051799	0.016380783808798812	SECCIDEPTH	0.009625473359690462	0.00938058109685086	0.0098761648786057
bottom_pH_min	0.008936238498059359	0.008349018845447377	0.009565090744967872		bottom_pH_min	0.010656958960029366	0.009997981313591992	0.011365333920199061		bottom_pH_min	0.01013019341071682	0.009381328126984091	0.010834451240674897		NEWDEPTH	0.08383210146040143	0.08245262059172603	0.08523568939383418	surface_DO_min	0.009280369706564921	0.008492429952858808	0.010030181103602067	surface_DO_min	0.00951263124145482	0.00911425003966999	0.009886913769193815
meanWC	0.007868714862273276	0.007251784294153917	0.00854553930526239		surface_DO_min	0.010219441174596545	0.009466288249329975	0.010983352405795524		surface_DO_min	0.008023023956078615	0.007382838278706294	0.00867393566869512		meanWC	0.08333515841350178	0.08161694717931134	0.08504381500646682	NEWDEPTH	0.008348050269519312	0.007761443756321122	0.009015157966463603	tyyppi (lake type)	0.009207725334004506	0.008851222737309513	0.009569177518887025
NEWDEPTH	0.0044028613764071495	0.003936257963060881	0.004876132669067682		NEWDEPTH	0.006053767167621066	0.005610823251550073	0.006512656073792073		area_m2	0.00703204795937846	0.006101809400196025	0.008039040978462373		thermal_class	0.08045451227732302	0.0793461455568207	0.08166099133870919	meanWC	0.0061301976414721605	0.00560610991411066	0.006664628594263709	NEWDEPTH	0.008764234125528242	0.008417301045605374	0.009146574200452649
surface_DO_min	0.0035935535859615442	0.0031865510108432973	0.004027334886490651		area_m2	0.00600784656837223	0.00492444337575428	0.007164193491806043		meanCond	0.0067694239672839605	0.006220467828131554	0.007324654405947208		bottom_pH_min	0.06523150238100628	0.0635520208561893	0.06711148984237332	area_m2	0.005405547570036235	0.004395226639412608	0.006528031291381279	meanWC	0.007160000097091419	0.006932060197328213	0.0073844625299284905
area_m2	0.0026523814394443087	0.0018564085614962006	0.0036562137063235103		meanWC	0.0040381775711944784	0.003662086535426827	0.004419067098846354		NEWDEPTH	0.004043672567291223	0.003682072309239603	0.004462604737510002		surface_DO_min	0.034437182916655124	0.03248230345606947	0.03624297481502916	thermal_class	0.004442426261656673	0.003998659326911688	0.004877598611425268	thermal_class	0.0012512627760516528	0.0011925573826381162	0.0013159890346371938
